source	id	title	theme	author	textdate	tags	URL	Author_profession	About_author
Arzamas	400	Бессмысленный тест на знание Arzamas  •  	[]		30.01.2017	[]	http://arzamas.academy/mag/400-two-years		
Arzamas	299	Черновики Михаила Булгакова  •  	['Литература']	Мария Котова	14.06.2016	[]	http://arzamas.academy/mag/299-bulgakov	Историк литературы	Кандидат филологических наук, ведущий научный сотрудник, руководитель научного отдела Государственного музея М. А. Булгакова. Автор ряда статей о русской литературе XX века и соавтор нескольких монографий, в том числе «В лабиринтах романа-загадки. Комментарий к роману В. П. Катаева „Алмазный мой венец“» (в соавторстве с О. Лекмановым, при участии Л. Видгофа) и «О. Мандельштам. „Египетская марка“. Пояснения для читателя» (составители: М. Котова, О. Лекманов, О. Репина, <nobr>А. Сергеева-Клятис,</nobr> С. Синельников).
Arzamas	164	За что на самом деле сожгли Джордано Бруно?  •  	['История']	Ованес Акопян	05.11.2015	[]	http://arzamas.academy/mag/164-bruno	Историк	Кандидат исторических наук, специалист по истории ренессансной магии, науки и философии, докторант Уорикского университета (Ковентри, Великобритания).
Arzamas	282	5 новых книг о литературе  •  	['Литература']		05.04.2016	[]	http://arzamas.academy/mag/282-essay		
Arzamas	303	Зачем американцы красили лицо в черный  •  	['Искусство', 'Антропология']	Феликс Сандалов	04.07.2016	[]	http://arzamas.academy/mag/303-menestrels	Журналист	Автор книги «Формейшен: история одной сцены»
Arzamas	273	Как определить тип личности по форме носа: метод Аристотеля  •  	['История', 'Антропология']		14.03.2016	[]	http://arzamas.academy/mag/273-nose		
Arzamas	208	Как Русско-турецкая война повлияла на моду  •  	['История', 'Антропология']	Ольга Хорошилова	07.12.2015	[]	http://arzamas.academy/mag/208-russo-turkish-war	Искусствовед, историк моды	Кандидат искусствоведения, доцент Санкт-Петербургского государственного университета промышленных технологий и дизайна, лектор Русского музея, автор книг «Всадники особого назначения» (2013), «Костюм и мода Российской империи. Эпоха Николая II» (2013), «Костюм и мода Российской империи. Эпоха Александра II и Александра III» (2015), «Молодые и красивые. Мода 1920-х годов» (2016).
Arzamas	163	Боги, монстры, Ренуар и поедатели свинины  •  	[]		30.10.2015	[]	http://arzamas.academy/mag/163-halk		
Arzamas	427	Советский писатель внутри Большого террора. Глава 7  •  	['Литература', 'История']	Илья Венявкин	27.04.2017	['Документ', 'СССР']	http://arzamas.academy/mag/427-chapter7Историк советской литературы и культуры	Кандидат исторических наук. Креативный директор Фонда Егора Гайдара. Один из участников сетевого проекта «Прожито», создающего полный электронный корпус дневников советского времени.	
Arzamas	295	Победитель читательского голосования — теперь в музее  •  	[]	Олег Коронный	25.05.2016	[]	http://arzamas.academy/mag/295-ashurnasirpalii	Редактор Arzamas.academy	
Arzamas	262	Книги недели: выбор «Порядка слов»  •  	[]		25.02.2016	[]	http://arzamas.academy/mag/262-shoah		
Arzamas	386	Стихи на выходные: Бахыт Кенжеев  •  	['Литература']		09.12.2016	['Поэзия']	http://arzamas.academy/mag/386-kenzheev		
Arzamas	425	Какие преступления вдохновили Достоевского  •  	['Литература', 'История']	Анастасия Першкина	02.05.2017	['XIX век', 'Хроника']	http://arzamas.academy/mag/425-crimes	Филолог, журналист	Кандидат филологических наук, главный выпускающий редактор «ТАСС-Аудио», член оргкомитета Международной научной конференции молодых филологов «Текстология и историко-литературный процесс». Училась на филологическом факультете МГУ, работала на радиостанции «Коммерсантъ FM». Научные интересы — русская литература XIX века. Дома есть библиотека и кот по имени Осип Иванович Сенковский.
Arzamas	355	Как устроен древнерусский храм  •  	['Искусство', 'История']	Сергей Кавтарадзе	17.10.2016	['Путеводитель', 'Архитектура', 'Древняя Русь']	http://arzamas.academy/mag/355-drevnerus	Искусствовед, историк архитектуры	Преподаватель Школы коллекционеров и экспертов ЦСИ «Винзавод». Лауреат премии «Просветитель» 2016 года в номинации «Гуманитарные науки» (книга «Анатомия архитектуры. Семь книг о логике, форме и смысле», 2016).
Arzamas	442	Определитель святых  •  	['Искусство', 'История', 'Антропология']	Михаил Майзульс	12.07.2017	['Шпаргалка', 'Средние века', 'Церковь']	http://arzamas.academy/mag/442-holyness	Историк-медиевист	Преподаватель Российско-французского учебно-научного центра исторической антропологии им. М. Блока. Окончил аспирантуру РГГУ (2008). Сфера научных интересов: древнерусская эсхатология, Библия и библейские образы в культуре русского Средневековья, проблема исторического сознания в Московской Руси, религиозная и культурная история западноевропейского Средневековья. Соавтор книг «Демоны и грешники в древнерусской иконографии: семиотика образа» (2011) и «Анатомия ада. Путеводитель по древнерусской визуальной демонологии» (2013).
Arzamas	256	Альфред Шнитке — о том, почему шлягеры — это зло  •  	['Искусство']		29.02.2016	[]	http://arzamas.academy/mag/256-shnittke		
Arzamas	441	Неизвестное видео с похорон Бориса Пастернака  •  	['История', 'Литература']		30.05.2017	['Хроника', 'СССР', 'Видео', 'Поэзия']	http://arzamas.academy/mag/441-pasternak_funeral		
Arzamas	212	О проигранной битве: нобелевская лекция Светланы Алексиевич  •  	['История', 'Литература']		07.12.2015	[]	http://arzamas.academy/mag/212-aleksievitch		
Arzamas	332	«Талантливая бесталанность»: как великих писателей ругали современники  •  	['Литература']	Анастасия Тулякова	22.08.2016	[]	http://arzamas.academy/mag/332-critics	Аспирант факультета гуманитарных наук школы филологии НИУ ВШЭ, преподаватель лицея НИУ ВШЭ	
Arzamas	293	6 вещей, которые надо знать о рунах  •  	['История']	Савва Михеев	23.06.2016	[]	http://arzamas.academy/mag/293-runi	Историк	Кандидат исторических наук, старший научный сотрудник отдела типологии и сравнительного языкознания Института славяноведения РАН.
Arzamas	152	Мультфильмы про Груффало, 100 лучших детских книг года  •  	[]	Лиза Биргер	23.10.2015	['Дети']	http://arzamas.academy/mag/152-children-4Журналист, литературный критик		
Arzamas	158	Мультфильмы по классике и постеры к «Гарри Поттеру»  •  	[]		30.10.2015	['Дети']	http://arzamas.academy/mag/158-children-4		
