text_id	link	title	date	author	type	filename
0	https://panorama.pub/5770-frantsuzy-pobedili-gitlera.html	Во Франции снимут фильм, в котором французская армия победила Вермахт и взяла Берлин	2018-08-09	Наши читатели	news	D:\Panorama\texts\0.txt
1	https://panorama.pub/5707-kitaj-posylaet-dollar.html	Китайская провинция полностью откажется от доллара	2018-08-08	Виталий Манн	news	D:\Panorama\texts\1.txt
2	https://panorama.pub/5745-v-yakutske.html	Cчитающий себя гражданином СССР житель Якутска получил зарплату советскими рублями	2018-08-08	Борис Гонтермахер	news	D:\Panorama\texts\2.txt
3	https://panorama.pub/5726-oon-realnyj-uroven-zhizni.html	Факты ООН: реальный уровень жизни в Северной Корее близок к Сингапуру или Австралии	2018-08-08	Борис Гонтермахер	news	D:\Panorama\texts\3.txt
4	https://panorama.pub/5719-rpts-osvyatit-volgu.html	РПЦ проведет обряд освящения Волги	2018-08-08	Изяслав Тарашкевич	news	D:\Panorama\texts\4.txt
5	https://panorama.pub/5686-fond-bzhezinskogo-pomozhet.html	Фонд Бжезинского поможет победителям всероссийских школьных олимпиад поступить в Йельский университет	2018-08-08	Наши читатели	news	D:\Panorama\texts\5.txt
6	https://panorama.pub/5665-papy-rimskogo-vyberut-v-facebook.html	Следующие выборы Папы Римского пройдут путём голосования в Facebook	2018-08-07	Наши читатели	news	D:\Panorama\texts\6.txt
7	https://panorama.pub/5682-avstraliya-perehodit-na-aromaticheskij-benzin.html	Австралия переходит на ароматический бензин ради здоровья токсикоманов	2018-08-07	Виталий Манн	news	D:\Panorama\texts\7.txt
8	https://panorama.pub/5636-minpromtorg-predlozhil-ofitsialno-ispolzovat-na-proizvodstve-netsenzurnuyu-leksiku.html	Минпромторг предложил официально использовать нецензурную лексику на производстве	2018-08-07	Изяслав Тарашкевич	news	D:\Panorama\texts\8.txt
9	https://panorama.pub/5639-ssha-prekratyat-vyplaty.html	США прекратят выплаты за аренду Аляски и Калифорнии	2018-08-07	Наши читатели	news	D:\Panorama\texts\9.txt
10	https://panorama.pub/5623-roskosmos-otkazalsya-remontirovat-tualet-na-mks.html	&quot;Роскосмос&quot; отказался ремонтировать туалет на МКС	2018-08-06	Герман Томилин	news	D:\Panorama\texts\10.txt
11	https://panorama.pub/5613-v-ryazane-ustanovyat-pamyatnik-chingishanu.html	В Рязани установят памятник Чингисхану в честь 1000-летия установления дипотношений между Россией и Монголией	2018-08-06	Виталий Манн	news	D:\Panorama\texts\11.txt
12	https://panorama.pub/5599-prokuratura-podschitaet.html	Прокуратура подсчитает количество овощей в &quot;Дошираке&quot;	2018-08-06	Борис Гонтермахер	news	D:\Panorama\texts\12.txt
13	https://panorama.pub/5585-yuzhnoafrikanskie-strausy-vpali-v-depressiyu-posle-vstrechi-s-pervoj-ledi-frantsii.html	Южноафриканские страусы впали в депрессию после встречи с первой леди Франции	2018-08-05	Виталий Манн	news	D:\Panorama\texts\13.txt
14	https://panorama.pub/5574-v-krymu.html	В Крыму пресекли незаконную школьную экскурсию из Петербурга и временно разместили детей в колонии	2018-08-05	Борис Гонтермахер	news	D:\Panorama\texts\14.txt
