<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;60;20180103;11:00:00;1920.0000000;1927.0000000;1915.0000000;1926.5000000;3520
YNDX;60;20180103;12:00:00;1925.0000000;1926.0000000;1920.0000000;1921.0000000;2881
YNDX;60;20180103;13:00:00;1920.0000000;1927.0000000;1920.0000000;1924.0000000;1520
YNDX;60;20180103;14:00:00;1923.0000000;1924.5000000;1918.5000000;1924.5000000;2403
YNDX;60;20180103;15:00:00;1924.5000000;1927.0000000;1922.5000000;1924.5000000;1440
YNDX;60;20180103;16:00:00;1926.0000000;1927.0000000;1922.5000000;1923.5000000;1532
YNDX;60;20180103;17:00:00;1926.0000000;1928.5000000;1920.0000000;1923.0000000;3111
YNDX;60;20180103;18:00:00;1923.0000000;1948.5000000;1919.0000000;1938.5000000;11004
YNDX;60;20180103;19:00:00;1938.5000000;1949.5000000;1937.0000000;1943.5000000;5716
YNDX;60;20180104;11:00:00;1949.5000000;1960.0000000;1943.0000000;1947.0000000;2281
YNDX;60;20180104;12:00:00;1947.5000000;1958.0000000;1947.0000000;1955.5000000;2368
YNDX;60;20180104;13:00:00;1956.5000000;1958.0000000;1951.0000000;1957.5000000;884
YNDX;60;20180104;14:00:00;1957.5000000;1967.0000000;1955.5000000;1966.0000000;3715
YNDX;60;20180104;15:00:00;1966.5000000;1967.0000000;1962.0000000;1965.0000000;1385
YNDX;60;20180104;16:00:00;1965.0000000;1973.0000000;1962.0000000;1973.0000000;4626
YNDX;60;20180104;17:00:00;1973.0000000;1980.0000000;1957.5000000;1969.0000000;6102
YNDX;60;20180104;18:00:00;1968.0000000;1985.0000000;1956.0000000;1968.0000000;10767
YNDX;60;20180104;19:00:00;1970.5000000;1980.0000000;1967.5000000;1978.0000000;6050
YNDX;60;20180105;11:00:00;1965.0000000;1965.5000000;1942.0000000;1949.0000000;5587
YNDX;60;20180105;12:00:00;1950.0000000;1953.5000000;1945.0000000;1946.5000000;1371
YNDX;60;20180105;13:00:00;1946.0000000;1948.5000000;1921.0000000;1927.0000000;5595
YNDX;60;20180105;14:00:00;1928.0000000;1934.0000000;1927.5000000;1931.5000000;1994
YNDX;60;20180105;15:00:00;1930.0000000;1936.5000000;1928.5000000;1936.0000000;535
YNDX;60;20180105;16:00:00;1936.5000000;1940.0000000;1934.0000000;1939.0000000;188
YNDX;60;20180105;17:00:00;1939.0000000;1939.0000000;1935.0000000;1938.5000000;577
YNDX;60;20180105;18:00:00;1937.0000000;1958.5000000;1936.5000000;1954.5000000;5369
YNDX;60;20180105;19:00:00;1954.5000000;1955.5000000;1942.5000000;1942.5000000;1997
YNDX;60;20180109;11:00:00;1960.0000000;1970.0000000;1958.5000000;1965.0000000;2933
YNDX;60;20180109;12:00:00;1965.0000000;1969.0000000;1962.5000000;1966.0000000;2363
YNDX;60;20180109;13:00:00;1965.5000000;1973.0000000;1963.0000000;1973.0000000;1538
YNDX;60;20180109;14:00:00;1971.5000000;1976.0000000;1964.0000000;1968.0000000;2616
YNDX;60;20180109;15:00:00;1968.0000000;1968.5000000;1961.5000000;1961.5000000;2194
YNDX;60;20180109;16:00:00;1962.0000000;1968.0000000;1954.0000000;1955.0000000;4102
YNDX;60;20180109;17:00:00;1958.0000000;1960.0000000;1954.5000000;1958.0000000;2478
YNDX;60;20180109;18:00:00;1960.0000000;1982.0000000;1957.0000000;1972.0000000;18958
YNDX;60;20180109;19:00:00;1971.0000000;1975.5000000;1957.0000000;1963.0000000;5531
YNDX;60;20180110;11:00:00;1969.0000000;1969.0000000;1940.5000000;1948.0000000;6176
YNDX;60;20180110;12:00:00;1947.0000000;1948.0000000;1940.5000000;1947.0000000;3040
YNDX;60;20180110;13:00:00;1948.0000000;1950.5000000;1945.5000000;1950.5000000;1457
YNDX;60;20180110;14:00:00;1950.5000000;1953.5000000;1942.5000000;1943.5000000;1105
YNDX;60;20180110;15:00:00;1944.0000000;1948.0000000;1935.0000000;1936.5000000;3439
YNDX;60;20180110;16:00:00;1935.5000000;1942.5000000;1931.5000000;1936.0000000;4051
YNDX;60;20180110;17:00:00;1936.0000000;1944.5000000;1935.0000000;1942.0000000;463
YNDX;60;20180110;18:00:00;1940.5000000;1979.0000000;1940.0000000;1964.0000000;17920
YNDX;60;20180110;19:00:00;1965.0000000;1980.0000000;1965.0000000;1972.0000000;6723
YNDX;60;20180111;11:00:00;1963.5000000;1967.0000000;1955.0000000;1963.0000000;2119
YNDX;60;20180111;12:00:00;1962.0000000;1973.5000000;1961.5000000;1970.0000000;1416
YNDX;60;20180111;13:00:00;1972.0000000;1973.5000000;1960.0000000;1965.0000000;1539
YNDX;60;20180111;14:00:00;1965.0000000;1974.5000000;1963.0000000;1971.0000000;1775
YNDX;60;20180111;15:00:00;1971.0000000;1973.0000000;1964.0000000;1967.5000000;901
YNDX;60;20180111;16:00:00;1967.5000000;1973.0000000;1966.0000000;1968.5000000;906
YNDX;60;20180111;17:00:00;1969.0000000;1978.5000000;1967.0000000;1975.0000000;2780
YNDX;60;20180111;18:00:00;1975.0000000;1985.0000000;1966.0000000;1973.5000000;9620
YNDX;60;20180111;19:00:00;1975.0000000;1975.5000000;1959.5000000;1963.0000000;19422
YNDX;60;20180112;11:00:00;1955.0000000;1966.0000000;1945.5000000;1956.5000000;5360
YNDX;60;20180112;12:00:00;1956.5000000;1959.5000000;1955.0000000;1956.0000000;411
YNDX;60;20180112;13:00:00;1958.0000000;1964.5000000;1955.0000000;1959.0000000;718
