"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.12.2021","6.562,5","6.607,0","6.615,0","6.533,0","459,02K","-0,49%"
"14.12.2021","6.594,5","6.377,5","6.627,0","6.367,5","1,98M","3,43%"
"13.12.2021","6.376,0","6.630,0","6.700,0","6.352,0","1,54M","-3,68%"
"10.12.2021","6.619,5","6.624,5","6.673,0","6.568,5","675,35K","0,01%"
"09.12.2021","6.619,0","6.594,0","6.636,0","6.501,5","1,23M","0,68%"
"08.12.2021","6.574,5","6.721,0","6.784,5","6.510,0","2,08M","-2,17%"
"07.12.2021","6.720,5","6.664,0","6.766,5","6.645,0","2,17M","1,06%"
"06.12.2021","6.650,0","6.690,0","6.740,0","6.500,0","1,17M","0,16%"
"03.12.2021","6.639,5","6.751,0","6.770,0","6.571,5","843,40K","-1,37%"
"02.12.2021","6.732,0","6.611,0","6.768,0","6.558,0","1,46M","2,36%"
"01.12.2021","6.576,5","6.600,0","6.740,5","6.543,0","1,74M","0,97%"
"30.11.2021","6.513,0","6.502,0","6.688,5","6.418,5","2,73M","-1,56%"
"29.11.2021","6.616,0","6.510,0","6.713,0","6.480,0","1,81M","3,80%"
"26.11.2021","6.374,0","6.462,0","6.516,5","6.335,5","2,18M","-4,32%"
"25.11.2021","6.661,5","6.814,5","6.890,5","6.655,0","1,08M","-2,25%"
"24.11.2021","6.814,5","6.850,5","6.891,0","6.686,5","1,37M","-0,22%"
"23.11.2021","6.829,5","6.551,0","6.837,0","6.490,0","1,59M","3,86%"
"22.11.2021","6.575,5","6.690,0","6.756,5","6.532,0","1,75M","-1,99%"
"19.11.2021","6.709,0","6.897,0","6.902,5","6.660,0","1,37M","-1,92%"
"18.11.2021","6.840,0","6.832,0","6.887,0","6.783,5","815,01K","-0,65%"
"17.11.2021","6.884,5","6.945,0","6.950,0","6.840,0","1,15M","-0,89%"
"16.11.2021","6.946,5","6.956,0","7.006,0","6.905,0","847,55K","0,40%"
"15.11.2021","6.918,5","6.852,0","6.979,5","6.815,0","910,01K","0,59%"
"12.11.2021","6.878,0","7.061,5","7.067,0","6.835,0","1,94M","-3,05%"
"11.11.2021","7.094,5","7.158,0","7.171,0","6.969,0","1,09M","-0,60%"
"10.11.2021","7.137,5","7.209,0","7.266,0","7.120,0","656,16K","-0,70%"
"09.11.2021","7.188,0","7.200,0","7.255,0","7.117,5","792,62K","-0,28%"
"08.11.2021","7.208,5","7.240,0","7.275,0","7.202,0","511,33K","0,13%"
"05.11.2021","7.199,0","7.132,0","7.205,0","7.082,0","593,78K","0,33%"
"03.11.2021","7.175,0","7.190,0","7.202,5","7.125,0","595,46K","-0,54%"
"02.11.2021","7.214,0","7.304,0","7.394,0","7.193,5","947,12K","-1,08%"
"01.11.2021","7.293,0","7.265,0","7.327,5","7.242,0","595,25K","0,28%"
"29.10.2021","7.272,5","7.260,0","7.315,0","7.118,0","1,31M","-0,22%"
"28.10.2021","7.288,5","7.286,0","7.320,0","7.190,0","1,38M","-0,48%"
"27.10.2021","7.323,5","7.405,0","7.486,5","7.322,0","747,02K","-1,57%"
