"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.12.2021","554,40","552,20","555,65","547,00","2,45M","0,18%"
"14.12.2021","553,40","535,00","557,90","534,35","9,49M","2,64%"
"13.12.2021","539,15","573,40","577,85","536,60","8,62M","-5,76%"
"10.12.2021","572,10","578,40","579,45","570,05","2,67M","-1,08%"
"09.12.2021","578,35","576,00","580,30","570,00","4,30M","0,59%"
"08.12.2021","574,95","591,00","595,15","569,00","8,78M","-2,48%"
"07.12.2021","589,55","575,95","591,20","571,00","7,75M","2,43%"
"06.12.2021","575,55","580,00","582,00","568,60","3,72M","-0,17%"
"03.12.2021","576,55","584,00","584,45","573,00","5,53M","-0,94%"
"02.12.2021","582,00","571,95","583,70","567,20","10,19M","2,11%"
"01.12.2021","569,95","573,35","582,00","568,00","6,60M","0,68%"
"30.11.2021","566,10","565,00","573,25","557,00","10,59M","-1,25%"
"29.11.2021","573,25","567,00","579,00","559,40","7,69M","3,26%"
"26.11.2021","555,15","578,55","578,55","555,00","9,21M","-6,05%"
"25.11.2021","590,90","598,00","602,45","587,15","3,09M","-1,07%"
"24.11.2021","597,30","604,30","605,00","586,20","5,43M","-0,77%"
"23.11.2021","601,95","578,45","603,00","570,00","12,19M","3,61%"
"22.11.2021","581,00","589,75","593,05","572,25","12,36M","-1,61%"
"19.11.2021","590,50","617,80","618,30","590,00","8,02M","-3,84%"
"18.11.2021","614,10","618,05","621,95","610,25","4,67M","-0,87%"
"17.11.2021","619,50","621,00","626,70","618,55","4,42M","-0,30%"
"16.11.2021","621,35","625,10","629,45","617,00","3,81M","-0,03%"
"15.11.2021","621,55","617,80","629,40","614,45","3,98M","0,38%"
"12.11.2021","619,20","633,60","637,40","611,40","7,94M","-2,41%"
"11.11.2021","634,50","631,00","636,25","623,25","5,64M","0,75%"
"10.11.2021","629,80","638,00","642,50","627,00","5,31M","-1,04%"
"09.11.2021","636,40","632,50","637,95","629,30","4,36M","0,74%"
"08.11.2021","631,70","633,05","636,50","628,35","5,02M","0,87%"
"05.11.2021","626,25","612,95","626,75","605,20","4,56M","1,05%"
"03.11.2021","619,75","627,10","627,95","615,45","5,04M","-1,66%"
"02.11.2021","630,20","643,00","646,30","628,55","5,48M","-1,82%"
"01.11.2021","641,90","637,30","643,25","633,00","3,59M","0,91%"
"29.10.2021","636,10","640,05","643,00","628,40","4,39M","-0,80%"
"28.10.2021","641,25","637,75","642,00","622,35","8,15M","0,45%"
"27.10.2021","638,40","646,50","649,90","637,55","6,34M","-1,91%"
"26.10.2021","650,80","655,45","665,70","649,30","8,83M","-0,65%"
"25.10.2021","655,05","638,85","655,80","631,65","9,40M","3,24%"
"22.10.2021","634,50","630,15","640,45","630,15","3,65M","0,19%"
