"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.12.2021","0,044365","0,044670","0,044775","0,044095","29,02B","0,85%"
"14.12.2021","0,043990","0,041970","0,044420","0,041960","146,33B","2,47%"
"13.12.2021","0,042930","0,046045","0,046235","0,042470","140,57B","-6,54%"
"10.12.2021","0,045935","0,047040","0,047100","0,045815","73,43B","-2,09%"
"09.12.2021","0,046915","0,047335","0,047935","0,046470","51,94B","-0,72%"
"08.12.2021","0,047255","0,048600","0,049180","0,046655","63,98B","-2,33%"
"07.12.2021","0,048380","0,048010","0,048675","0,047100","66,57B","0,77%"
"06.12.2021","0,048010","0,048780","0,049220","0,047435","44,45B","-1,23%"
"03.12.2021","0,048610","0,049260","0,049265","0,048180","41,03B","-0,65%"
"02.12.2021","0,048930","0,047600","0,049080","0,047600","63,08B","2,84%"
"01.12.2021","0,047580","0,047735","0,048595","0,047200","73,98B","0,82%"
"30.11.2021","0,047195","0,046570","0,048000","0,046440","86,00B","-0,38%"
"29.11.2021","0,047375","0,047600","0,048055","0,046525","86,41B","1,71%"
"26.11.2021","0,046580","0,047700","0,047990","0,046520","87,92B","-4,53%"
"25.11.2021","0,048790","0,049555","0,049695","0,048670","34,40B","-1,13%"
"24.11.2021","0,049350","0,050130","0,050365","0,048925","47,97B","-1,05%"
"23.11.2021","0,049875","0,048080","0,050000","0,047025","105,14B","3,04%"
"22.11.2021","0,048405","0,050150","0,050360","0,048030","122,28B","-4,14%"
"19.11.2021","0,050495","0,053000","0,053240","0,050125","127,52B","-3,91%"
"18.11.2021","0,052550","0,051535","0,053010","0,050530","88,39B","1,91%"
"17.11.2021","0,051565","0,050900","0,051960","0,050885","37,49B","1,03%"
"16.11.2021","0,051040","0,052130","0,052245","0,050810","51,96B","-1,64%"
"15.11.2021","0,051890","0,050305","0,052310","0,050170","87,73B","3,18%"
"12.11.2021","0,050290","0,051310","0,051540","0,049570","92,70B","-1,87%"
"11.11.2021","0,051250","0,050195","0,051485","0,050050","74,25B","2,45%"
"10.11.2021","0,050025","0,051380","0,051665","0,050000","73,40B","-2,90%"
"09.11.2021","0,051520","0,052300","0,052370","0,051000","63,06B","-1,62%"
"08.11.2021","0,052370","0,053100","0,053370","0,051865","47,16B","-0,84%"
"05.11.2021","0,052815","0,052495","0,052860","0,052140","31,85B","-0,13%"
"03.11.2021","0,052885","0,052450","0,052985","0,051800","47,91B","0,12%"
"02.11.2021","0,052820","0,053630","0,053720","0,052360","56,29B","-1,34%"
"01.11.2021","0,053540","0,052750","0,053550","0,052320","58,83B","1,54%"
"29.10.2021","0,052730","0,053460","0,053590","0,052000","93,37B","-1,93%"
"28.10.2021","0,053765","0,054945","0,055285","0,053080","76,53B","-2,35%"
"27.10.2021","0,055060","0,055270","0,056000","0,054925","55,37B","-1,63%"
"26.10.2021","0,055970","0,056470","0,056470","0,055555","56,85B","-0,36%"
"25.10.2021","0,056170","0,054795","0,056200","0,053945","64,23B","3,25%"
"22.10.2021","0,054400","0,055210","0,055900","0,054205","65,84B","-1,38%"
"21.10.2021","0,055160","0,056105","0,056500","0,054630","72,41B","-2,56%"
"20.10.2021","0,056610","0,057200","0,057500","0,056245","69,28B","-1,38%"
"19.10.2021","0,057400","0,056160","0,057495","0,055805","102,52B","2,93%"
"18.10.2021","0,055765","0,055590","0,055825","0,055060","28,72B","0,30%"
"15.10.2021","0,055600","0,055510","0,055745","0,054950","33,87B","0,42%"
"14.10.2021","0,055370","0,055375","0,056000","0,054560","68,30B","0,47%"
"13.10.2021","0,055110","0,055500","0,055650","0,054340","59,03B","-0,51%"
"12.10.2021","0,055390","0,055815","0,055950","0,055205","52,45B","-1,42%"
"11.10.2021","0,056190","0,054875","0,056540","0,054730","118,93B","2,92%"
"08.10.2021","0,054595","0,054350","0,054750","0,053830","52,70B","0,58%"
"07.10.2021","0,054280","0,054500","0,055100","0,053710","74,05B","0,22%"
"06.10.2021","0,054160","0,053980","0,054900","0,052710","127,27B","0,60%"
"05.10.2021","0,053835","0,051915","0,053995","0,051580","92,94B","4,17%"
"04.10.2021","0,051680","0,051440","0,052400","0,050940","64,57B","0,38%"
"01.10.2021","0,051485","0,051200","0,051500","0,050830","31,15B","-0,36%"
"30.09.2021","0,051670","0,051300","0,052220","0,051140","70,65B","1,39%"
"29.09.2021","0,050960","0,050700","0,051595","0,050465","35,80B","0,21%"
"28.09.2021","0,050855","0,052410","0,053110","0,050550","78,96B","-2,85%"
"27.09.2021","0,052345","0,051310","0,052350","0,051100","42,82B","2,79%"
"24.09.2021","0,050925","0,050670","0,051125","0,050380","25,08B","0,26%"
"23.09.2021","0,050795","0,051020","0,051305","0,050150","38,20B","-0,04%"
"22.09.2021","0,050815","0,050500","0,051150","0,049900","44,79B","1,50%"
"21.09.2021","0,050065","0,050300","0,050705","0,049455","42,53B","0,17%"
"20.09.2021","0,049980","0,051000","0,051050","0,049400","46,81B","-2,76%"
"17.09.2021","0,051400","0,051690","0,051900","0,051200","37,15B","-0,46%"
"16.09.2021","0,051635","0,052055","0,052390","0,051130","41,16B","-0,93%"
"15.09.2021","0,052120","0,051500","0,052485","0,051125","57,19B","1,21%"
"14.09.2021","0,051495","0,052585","0,052750","0,051275","45,21B","-2,01%"
"13.09.2021","0,052550","0,052260","0,052550","0,051900","30,56B","1,15%"
"10.09.2021","0,051950","0,052650","0,053225","0,051760","35,97B","-0,84%"
"09.09.2021","0,052390","0,053745","0,053745","0,052275","46,96B","-2,59%"
"08.09.2021","0,053785","0,053890","0,054400","0,052920","50,19B","0,27%"
"07.09.2021","0,053640","0,054370","0,054840","0,053050","54,76B","-0,83%"
"06.09.2021","0,054090","0,052625","0,054540","0,052500","67,94B","3,23%"
"03.09.2021","0,052400","0,052500","0,052900","0,051850","43,19B","-0,09%"
"02.09.2021","0,052445","0,053330","0,053500","0,052150","37,37B","-1,42%"
"01.09.2021","0,053200","0,052995","0,053215","0,052410","39,28B","0,97%"
"31.08.2021","0,052690","0,052350","0,052995","0,052175","72,04B","1,04%"
"30.08.2021","0,052150","0,050810","0,052250","0,050810","51,01B","2,65%"
"27.08.2021","0,050805","0,050270","0,050875","0,049700","32,76B","1,52%"
"26.08.2021","0,050045","0,050995","0,051085","0,049800","30,24B","-2,04%"
"25.08.2021","0,051085","0,051065","0,051290","0,050400","25,78B","0,04%"
"24.08.2021","0,051065","0,051385","0,051740","0,050570","34,83B","-0,46%"
"23.08.2021","0,051300","0,051300","0,051415","0,050935","22,21B","1,21%"
"20.08.2021","0,050685","0,050405","0,051100","0,049580","43,96B","0,41%"
"19.08.2021","0,050480","0,051015","0,051020","0,049825","66,39B","-1,39%"
"18.08.2021","0,051190","0,052640","0,052795","0,051135","36,49B","-2,28%"
