"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.12.2021","62,01","61,17","63,07","60,46","1,69M","0,50%"
"13.12.2021","61,70","61,93","62,93","61,31","1,76M","-2,60%"
"10.12.2021","63,35","65,72","65,79","63,23","2,15M","-3,50%"
"09.12.2021","65,65","67,56","67,67","65,37","1,74M","-2,07%"
"08.12.2021","67,04","66,77","67,88","64,72","3,24M","0,04%"
"07.12.2021","67,01","68,57","69,08","66,98","3,72M","-1,60%"
"06.12.2021","68,10","67,89","68,40","67,17","1,33M","-1,87%"
"03.12.2021","69,40","71,54","71,69","68,74","1,88M","-2,34%"
"02.12.2021","71,06","71,69","72,02","70,19","1,36M","-0,15%"
"01.12.2021","71,17","72,60","73,58","71,17","1,67M","-1,07%"
"30.11.2021","71,94","72,60","73,31","71,15","1,98M","-0,08%"
"29.11.2021","72,00","73,43","73,43","71,81","1,36M","2,21%"
"26.11.2021","70,44","71,57","71,64","70,37","1,58M","-4,77%"
"24.11.2021","73,97","74,00","74,89","72,54","1,34M","-1,83%"
"23.11.2021","75,35","75,09","75,63","74,11","2,51M","3,42%"
"22.11.2021","72,86","79,00","79,00","71,32","5,58M","-10,10%"
"19.11.2021","81,05","81,87","83,87","81,00","1,21M","-1,01%"
"18.11.2021","81,88","81,57","82,06","80,87","1,05M","0,13%"
"17.11.2021","81,77","81,31","82,41","80,94","1,63M","0,57%"
"16.11.2021","81,31","81,20","81,35","80,65","461,91K","-0,56%"
"15.11.2021","81,77","83,36","83,42","81,09","728,94K","-0,37%"
"12.11.2021","82,07","81,40","82,33","80,35","2,49M","-1,42%"
"11.11.2021","83,25","82,70","84,68","82,70","890,33K","1,51%"
"10.11.2021","82,01","84,12","84,53","81,96","1,08M","-3,10%"
"09.11.2021","84,63","86,61","86,76","84,49","1,49M","-2,13%"
"08.11.2021","86,47","86,85","87,11","86,16","920,54K","0,46%"
"05.11.2021","86,07","84,95","86,31","83,92","1,49M","2,32%"
"04.11.2021","84,12","84,35","84,80","82,82","933,16K","0,14%"
"03.11.2021","84,00","82,32","84,03","82,24","1,39M","1,31%"
"02.11.2021","82,91","82,13","83,49","81,86","1,07M","0,55%"
"01.11.2021","82,46","83,01","83,54","81,02","1,03M","-0,46%"
"29.10.2021","82,84","82,10","83,10","81,37","1,37M","-0,31%"
"28.10.2021","83,10","79,25","83,55","79,07","2,76M","6,52%"
"27.10.2021","78,01","77,42","79,96","77,00","2,50M","2,28%"
"26.10.2021","76,27","77,54","77,55","76,00","983,78K","-1,01%"
"25.10.2021","77,05","76,36","77,55","76,17","1,33M","1,78%"
"22.10.2021","75,70","76,63","77,03","75,44","847,40K","-0,45%"
"21.10.2021","76,04","76,15","76,18","75,49","712,80K","-0,39%"
"20.10.2021","76,34","77,53","77,53","76,27","982,56K","-0,99%"
"19.10.2021","77,10","77,59","77,60","76,51","1,73M","0,40%"
"18.10.2021","76,79","76,13","76,91","75,79","1,09M","0,79%"
"15.10.2021","76,19","77,23","77,50","76,00","1,19M","-1,26%"
"14.10.2021","77,16","77,96","77,97","76,93","987,60K","0,22%"
"13.10.2021","76,99","77,55","78,28","76,69","1,36M","-0,40%"
"12.10.2021","77,30","77,96","78,63","77,15","1,27M","-0,77%"
"11.10.2021","77,90","78,95","80,12","77,76","903,45K","-2,17%"
"08.10.2021","79,63","79,30","79,89","78,93","782,59K","0,16%"
"07.10.2021","79,50","79,06","80,26","78,99","1,17M","1,24%"
"06.10.2021","78,53","76,06","78,63","75,97","1,25M","1,29%"
"05.10.2021","77,53","76,14","77,97","75,89","1,45M","3,37%"
"04.10.2021","75,00","78,34","78,56","74,93","2,75M","-5,36%"
"01.10.2021","79,25","79,60","80,27","79,22","712,32K","-0,55%"
"30.09.2021","79,69","79,04","80,32","78,97","1,07M","0,94%"
"29.09.2021","78,95","80,02","80,07","78,74","883,26K","-0,63%"
"28.09.2021","79,45","80,29","80,77","78,97","991,82K","-3,16%"
"27.09.2021","82,04","81,50","82,46","80,21","2,29M","2,29%"
"24.09.2021","80,20","79,94","80,41","79,36","948,24K","-0,78%"
"23.09.2021","80,83","79,17","80,87","78,94","1,08M","2,59%"
"22.09.2021","78,79","79,03","79,52","78,53","810,85K","-0,27%"
"21.09.2021","79,00","79,55","79,60","78,21","991,66K","-0,09%"
"20.09.2021","79,07","79,19","80,12","78,56","1,28M","-1,63%"
"17.09.2021","80,38","81,13","81,29","80,09","1,52M","-0,74%"
"16.09.2021","80,98","81,99","82,62","80,85","1,64M","-0,63%"
"15.09.2021","81,49","82,05","82,13","80,75","1,20M","-0,46%"
"14.09.2021","81,87","81,68","82,20","81,26","1,12M","0,17%"
"13.09.2021","81,73","80,65","81,88","79,86","1,55M","2,01%"
"10.09.2021","80,12","79,51","80,60","79,32","1,45M","1,79%"
"09.09.2021","78,71","77,79","79,05","77,71","992,13K","0,55%"
"08.09.2021","78,28","77,60","78,59","77,02","1,35M","0,85%"
"07.09.2021","77,62","79,10","79,17","77,61","1,23M","-1,56%"
"03.09.2021","78,85","77,64","78,90","77,41","1,14M","1,81%"
"02.09.2021","77,45","78,80","79,25","77,30","1,35M","-0,54%"
"01.09.2021","77,87","76,66","78,90","76,57","2,54M","1,26%"
"31.08.2021","76,90","73,88","77,05","73,70","3,50M","5,16%"
"30.08.2021","73,13","72,32","73,52","72,10","1,21M","0,99%"
"27.08.2021","72,41","70,49","72,42","70,12","1,71M","2,86%"
